age,gender,race,education,experience_years,zip_code,credit_score,loan_amount,income,approved
28,male,white,bachelor,3,10001,720,15000,55000,1
34,female,black,master,7,10002,680,22000,72000,0
45,male,hispanic,high_school,15,10003,650,8000,41000,1
22,female,white,bachelor,1,10004,590,5000,32000,0
51,male,black,phd,20,10005,760,50000,110000,1
29,female,asian,master,4,10006,730,18000,68000,1
38,male,white,high_school,12,10007,620,12000,48000,0
26,female,hispanic,bachelor,2,10008,700,10000,44000,0
43,male,asian,master,16,10009,780,35000,95000,1
31,female,white,bachelor,6,10010,710,20000,61000,1
55,male,black,high_school,25,10011,600,7000,38000,0
24,female,white,bachelor,2,10012,650,8000,36000,1
47,male,hispanic,bachelor,18,10013,690,28000,79000,1
33,female,black,master,8,10014,720,25000,74000,0
29,male,asian,phd,5,10015,750,30000,88000,1
41,female,white,high_school,14,10016,640,11000,46000,0
36,male,black,bachelor,10,10017,680,19000,63000,1
27,female,asian,master,3,10018,740,16000,71000,1
52,male,white,phd,22,10019,800,60000,130000,1
23,female,hispanic,bachelor,1,10020,580,4000,28000,0
